1,5
2,12
3,18
4,24
5,29
6,36
7,41
8,43
9,52
10,57
11,62
12,68
13,74
14,80
15,86
16,94
17,100
18,
19,111
20,119
21,125
22,131
23,136
24,141
25,147
26,152
27,157
28,163
29,169
30,176
31,182
32,187
33,192
34,197
35,203
36,208
37,213
38,218
39,223
40,228
41,234
42,239
43,244
44,249
45,255
46,261
47,266
48,272
49,277
50,282
51,287
52,292
53,297
54,302
55,307
56,313
57,318
58,324
59,329
60,331
61,339
62,344
63,349
64,354
65,359
66,364
67,369
68,374
69,379
